invoice_acct_id,date,account,description,amount,type,department,vendor,payment_method
ACT-11219,2025-06-15,Revenue,Daily Sales Deposit,23565.78,Credit,Sales,Customer Payments,ACH
ACT-11220,2023-09-08,Revenue,Daily Sales Deposit,23582.07,Credit,Sales,Customer Payments,ACH
ACT-11221,2025-06-19,Inventory Purchase,General Inventory Purchase entry,6235.17,Debit,Admin,Various Wholesale,Check
ACT-11222,2024-01-24,Revenue,Daily Sales Deposit,9598.6,Credit,Sales,Customer Payments,ACH
ACT-11223,2024-04-12,Revenue,Daily Sales Deposit,11879.64,Credit,Sales,Customer Payments,ACH
ACT-11224,2025-09-05,Revenue,Daily Sales Deposit,10169.51,Credit,Sales,Customer Payments,Credit Card
ACT-11225,2023-02-27,Office Supplies,General Office Supplies entry,2508.09,Debit,Marketing,Staples Business,Check
ACT-11226,2025-07-27,Inventory Purchase,General Inventory Purchase entry,2391.02,Debit,Operations,Various Wholesale,Check
ACT-11227,2024-12-24,Inventory Purchase,General Inventory Purchase entry,752.55,Debit,Warehouse,Various Wholesale,ACH
ACT-11228,2024-05-11,Revenue,Daily Sales Deposit,12732.73,Credit,Sales,Customer Payments,Check
ACT-11229,2025-11-01,Revenue,Daily Sales Deposit,5994.59,Credit,Sales,Customer Payments,ACH
ACT-11230,2023-09-27,Revenue,Daily Sales Deposit,8324.58,Credit,Sales,Customer Payments,Check
ACT-11231,2024-08-17,Inventory Purchase,General Inventory Purchase entry,1714.53,Debit,Warehouse,Various Wholesale,ACH
ACT-11232,2023-10-14,Revenue,Daily Sales Deposit,23199.05,Credit,Sales,Customer Payments,Check
ACT-11233,2023-06-02,Revenue,Daily Sales Deposit,9551.1,Credit,Sales,Customer Payments,Check
ACT-11234,2024-04-08,Inventory Purchase,General Inventory Purchase entry,1212.82,Debit,Admin,Various Wholesale,Credit Card
ACT-11235,2023-12-01,Inventory Purchase,General Inventory Purchase entry,3861.16,Debit,Operations,Various Wholesale,ACH
ACT-11236,2025-12-01,Revenue,Daily Sales Deposit,10945.91,Credit,Sales,Customer Payments,ACH
ACT-11237,2024-05-29,Utilities,General Utilities entry,3805.15,Debit,Operations,City Power & Water,ACH
ACT-11238,2025-03-14,Revenue,Daily Sales Deposit,13376.79,Credit,Sales,Customer Payments,Credit Card
ACT-11239,2025-10-20,Inventory Purchase,General Inventory Purchase entry,6208.07,Debit,Marketing,Various Wholesale,Check
ACT-11240,2023-07-06,Revenue,Daily Sales Deposit,24884.09,Credit,Sales,Customer Payments,ACH
ACT-11241,2025-03-05,Revenue,Daily Sales Deposit,23020.46,Credit,Sales,Customer Payments,ACH
ACT-11242,2025-02-12,Revenue,Daily Sales Deposit,5609.54,Credit,Sales,Customer Payments,Check
ACT-11243,2025-03-17,Revenue,Daily Sales Deposit,14901.15,Credit,Sales,Customer Payments,ACH
ACT-11244,2023-06-22,Inventory Purchase,General Inventory Purchase entry,6365.6,Debit,Warehouse,Various Wholesale,Credit Card
ACT-11245,2023-02-22,Revenue,Daily Sales Deposit,20877.17,Credit,Sales,Customer Payments,Check
ACT-11246,2025-11-24,Inventory Purchase,General Inventory Purchase entry,7295.83,Debit,Marketing,Various Wholesale,ACH
ACT-11247,2025-01-15,Revenue,Daily Sales Deposit,10372.16,Credit,Sales,Customer Payments,Check
ACT-11248,2023-12-01,Inventory Purchase,General Inventory Purchase entry,3069.9,Debit,Admin,Various Wholesale,Check
ACT-11249,2025-08-15,Revenue,Daily Sales Deposit,12446.79,Credit,Sales,Customer Payments,Credit Card
ACT-11250,2023-01-01,Office Supplies,General Office Supplies entry,7105.53,Debit,Operations,Staples Business,ACH
ACT-11251,2024-07-07,Revenue,Daily Sales Deposit,14411.63,Credit,Sales,Customer Payments,Credit Card
ACT-11252,2025-05-04,Revenue,Daily Sales Deposit,15784.06,Credit,Sales,Customer Payments,ACH
ACT-11253,2025-02-18,Inventory Purchase,General Inventory Purchase entry,2955.4,Debit,Sales,Various Wholesale,ACH
ACT-11254,2024-05-20,Inventory Purchase,General Inventory Purchase entry,4379.27,Debit,Admin,Various Wholesale,ACH
ACT-11255,2024-01-13,Revenue,Daily Sales Deposit,23328.36,Credit,Sales,Customer Payments,ACH
ACT-11256,2024-12-12,Inventory Purchase,General Inventory Purchase entry,7901.32,Debit,Admin,Various Wholesale,Check
ACT-11257,2024-01-06,Inventory Purchase,General Inventory Purchase entry,337.25,Debit,Sales,Various Wholesale,ACH
ACT-11258,2025-04-30,Utilities,General Utilities entry,4439.69,Debit,Sales,City Power & Water,ACH
ACT-11259,2025-04-11,Office Supplies,General Office Supplies entry,7052.49,Debit,Sales,Staples Business,Check
ACT-11260,2025-01-21,Office Supplies,General Office Supplies entry,4080.75,Debit,Admin,Staples Business,Check
ACT-11261,2025-10-06,Inventory Purchase,General Inventory Purchase entry,3970.86,Debit,Marketing,Various Wholesale,Credit Card
ACT-11262,2025-07-18,Revenue,Daily Sales Deposit,20517.3,Credit,Sales,Customer Payments,Check
ACT-11263,2025-01-20,Office Supplies,General Office Supplies entry,2428.32,Debit,Admin,Staples Business,Check
ACT-11264,2024-12-30,Revenue,Daily Sales Deposit,16778.24,Credit,Sales,Customer Payments,Credit Card
ACT-11265,2024-12-17,Revenue,Daily Sales Deposit,8478.24,Credit,Sales,Customer Payments,Credit Card
ACT-11266,2023-05-17,Revenue,Daily Sales Deposit,18545.81,Credit,Sales,Customer Payments,ACH
ACT-11267,2023-10-25,Inventory Purchase,General Inventory Purchase entry,3057.5,Debit,Sales,Various Wholesale,Credit Card
ACT-11268,2025-02-14,Office Supplies,General Office Supplies entry,5320.86,Debit,Warehouse,Staples Business,Credit Card
ACT-11269,2024-01-25,Inventory Purchase,General Inventory Purchase entry,6638.74,Debit,Operations,Various Wholesale,Check
ACT-11270,2025-08-09,Inventory Purchase,General Inventory Purchase entry,5667.66,Debit,Admin,Various Wholesale,Check
ACT-11271,2024-08-17,Revenue,Daily Sales Deposit,10354.35,Credit,Sales,Customer Payments,ACH
ACT-11272,2023-02-13,Revenue,Daily Sales Deposit,18598.33,Credit,Sales,Customer Payments,ACH
ACT-11273,2024-01-21,Revenue,Daily Sales Deposit,9485.35,Credit,Sales,Customer Payments,Check
ACT-11274,2025-01-27,Office Supplies,General Office Supplies entry,1203.76,Debit,Warehouse,Staples Business,Credit Card
ACT-11275,2023-11-10,Utilities,General Utilities entry,5256.75,Debit,Sales,City Power & Water,Check
ACT-11276,2024-04-21,Utilities,General Utilities entry,7114.23,Debit,Admin,City Power & Water,Credit Card
ACT-11277,2023-01-25,Inventory Purchase,General Inventory Purchase entry,3069.81,Debit,Marketing,Various Wholesale,Check
ACT-11278,2023-04-19,Utilities,General Utilities entry,5013.3,Debit,Sales,City Power & Water,Credit Card
ACT-11279,2025-11-20,Inventory Purchase,General Inventory Purchase entry,1196.51,Debit,Marketing,Various Wholesale,Credit Card
ACT-11280,2025-01-10,Revenue,Daily Sales Deposit,12417.7,Credit,Sales,Customer Payments,Credit Card
ACT-11281,2023-04-13,Revenue,Daily Sales Deposit,17149.26,Credit,Sales,Customer Payments,Credit Card
ACT-11282,2024-09-27,Revenue,Daily Sales Deposit,10130.11,Credit,Sales,Customer Payments,ACH
ACT-11283,2024-12-03,Utilities,General Utilities entry,5581.94,Debit,Warehouse,City Power & Water,Check
ACT-11284,2023-04-28,Inventory Purchase,General Inventory Purchase entry,4856.21,Debit,Warehouse,Various Wholesale,Check
ACT-11285,2025-11-14,Revenue,Daily Sales Deposit,6773.47,Credit,Sales,Customer Payments,Credit Card
ACT-11286,2025-10-14,Revenue,Daily Sales Deposit,20431.71,Credit,Sales,Customer Payments,ACH
ACT-11287,2024-06-14,Revenue,Daily Sales Deposit,11033.88,Credit,Sales,Customer Payments,Check
ACT-11288,2025-03-15,Office Supplies,General Office Supplies entry,549.44,Debit,Operations,Staples Business,Credit Card
ACT-11289,2023-06-13,Revenue,Daily Sales Deposit,14060.77,Credit,Sales,Customer Payments,Credit Card
ACT-11290,2025-10-21,Revenue,Daily Sales Deposit,12926.5,Credit,Sales,Customer Payments,Credit Card
ACT-11291,2024-12-16,Office Supplies,General Office Supplies entry,3281.8,Debit,Operations,Staples Business,Check
ACT-11292,2025-10-05,Office Supplies,General Office Supplies entry,3644.7,Debit,Operations,Staples Business,Credit Card
ACT-11293,2023-11-02,Inventory Purchase,General Inventory Purchase entry,6816.65,Debit,Warehouse,Various Wholesale,ACH
ACT-11294,2025-10-13,Revenue,Daily Sales Deposit,16179.71,Credit,Sales,Customer Payments,Check
ACT-11295,2023-02-05,Office Supplies,General Office Supplies entry,1784.54,Debit,Sales,Staples Business,ACH
ACT-11296,2024-08-01,Revenue,Daily Sales Deposit,24378.1,Credit,Sales,Customer Payments,Check
ACT-11297,2024-07-11,Revenue,Daily Sales Deposit,23967.71,Credit,Sales,Customer Payments,Check
ACT-11298,2025-08-31,Inventory Purchase,General Inventory Purchase entry,4735.6,Debit,Marketing,Various Wholesale,Check
ACT-11299,2024-01-22,Revenue,Daily Sales Deposit,9710.96,Credit,Sales,Customer Payments,Credit Card
ACT-11300,2023-04-01,Inventory Purchase,General Inventory Purchase entry,3200.85,Debit,Marketing,Various Wholesale,ACH
ACT-11301,2023-08-24,Office Supplies,General Office Supplies entry,2840.04,Debit,Marketing,Staples Business,ACH
ACT-11302,2023-06-04,Utilities,General Utilities entry,7068.14,Debit,Warehouse,City Power & Water,Credit Card
ACT-11303,2023-02-22,Revenue,Daily Sales Deposit,13360.31,Credit,Sales,Customer Payments,Credit Card
ACT-11304,2023-10-14,Revenue,Daily Sales Deposit,10692.89,Credit,Sales,Customer Payments,Check
ACT-11305,2025-02-04,Office Supplies,General Office Supplies entry,6257.55,Debit,Admin,Staples Business,ACH
ACT-11306,2023-04-10,Revenue,Daily Sales Deposit,13889.76,Credit,Sales,Customer Payments,Check
ACT-11307,2023-07-06,Revenue,Daily Sales Deposit,11450.37,Credit,Sales,Customer Payments,Credit Card
ACT-11308,2023-02-02,Revenue,Daily Sales Deposit,7462.55,Credit,Sales,Customer Payments,ACH
ACT-11309,2023-10-21,Office Supplies,General Office Supplies entry,3742.08,Debit,Sales,Staples Business,ACH
ACT-11310,2024-10-02,Utilities,General Utilities entry,382.83,Debit,Marketing,City Power & Water,ACH
ACT-11311,2025-10-10,Inventory Purchase,General Inventory Purchase entry,4417.36,Debit,Warehouse,Various Wholesale,ACH
ACT-11312,2025-01-04,Inventory Purchase,General Inventory Purchase entry,4933.4,Debit,Operations,Various Wholesale,Credit Card
ACT-11313,2023-02-24,Utilities,General Utilities entry,6184.65,Debit,Marketing,City Power & Water,Credit Card
ACT-11314,2023-01-05,Office Supplies,General Office Supplies entry,7703.31,Debit,Operations,Staples Business,ACH
ACT-11315,2025-07-27,Inventory Purchase,General Inventory Purchase entry,2393.75,Debit,Sales,Various Wholesale,ACH
ACT-11316,2023-11-03,Revenue,Daily Sales Deposit,23566.4,Credit,Sales,Customer Payments,Credit Card
ACT-11317,2024-03-25,Revenue,Daily Sales Deposit,20732.25,Credit,Sales,Customer Payments,Check
ACT-11318,2025-08-02,Inventory Purchase,General Inventory Purchase entry,3206.2,Debit,Operations,Various Wholesale,Check
ACT-11319,2023-04-26,Office Supplies,General Office Supplies entry,4923.42,Debit,Operations,Staples Business,Check
ACT-11320,2024-04-16,Inventory Purchase,General Inventory Purchase entry,4699.44,Debit,Marketing,Various Wholesale,Credit Card
ACT-11321,2025-07-22,Revenue,Daily Sales Deposit,22403.37,Credit,Sales,Customer Payments,Check
ACT-11322,2025-11-22,Utilities,General Utilities entry,320.56,Debit,Warehouse,City Power & Water,Check
ACT-11323,2024-09-08,Utilities,General Utilities entry,5761.2,Debit,Operations,City Power & Water,ACH
ACT-11324,2024-01-10,Revenue,Daily Sales Deposit,19215.88,Credit,Sales,Customer Payments,ACH
ACT-11325,2023-08-10,Utilities,General Utilities entry,3104.8,Debit,Marketing,City Power & Water,Check
ACT-11326,2025-02-17,Revenue,Daily Sales Deposit,18287.19,Credit,Sales,Customer Payments,Check
ACT-11327,2023-01-13,Office Supplies,General Office Supplies entry,446.14,Debit,Warehouse,Staples Business,Credit Card
ACT-11328,2025-03-28,Office Supplies,General Office Supplies entry,7648.85,Debit,Sales,Staples Business,ACH
ACT-11329,2024-07-30,Inventory Purchase,General Inventory Purchase entry,7850.06,Debit,Admin,Various Wholesale,Check
ACT-11330,2024-05-16,Revenue,Daily Sales Deposit,14845.42,Credit,Sales,Customer Payments,Credit Card
ACT-11331,2024-02-02,Utilities,General Utilities entry,1496.73,Debit,Marketing,City Power & Water,ACH
ACT-11332,2025-06-26,Utilities,General Utilities entry,253.86,Debit,Sales,City Power & Water,Check
ACT-11333,2024-01-07,Revenue,Daily Sales Deposit,15737.92,Credit,Sales,Customer Payments,Check
ACT-11334,2024-12-30,Inventory Purchase,General Inventory Purchase entry,1192.04,Debit,Operations,Various Wholesale,ACH
ACT-11335,2023-07-22,Revenue,Daily Sales Deposit,9910.95,Credit,Sales,Customer Payments,Check
ACT-11336,2025-05-23,Utilities,General Utilities entry,1792.58,Debit,Admin,City Power & Water,Check
ACT-11337,2023-03-12,Office Supplies,General Office Supplies entry,6278.02,Debit,Admin,Staples Business,Check
ACT-11338,2023-03-12,Office Supplies,General Office Supplies entry,6278.02,Debit,Admin,Staples Business,Check
ACT-11339,2025-08-22,Revenue,Daily Sales Deposit,22534.86,Credit,Sales,Customer Payments,Credit Card
ACT-11340,2025-12-09,Utilities,General Utilities entry,7120.75,Debit,Operations,City Power & Water,ACH
ACT-11341,2023-04-25,Utilities,General Utilities entry,2479.6,Debit,Operations,City Power & Water,Check
ACT-11342,2024-03-24,Revenue,Daily Sales Deposit,16564.98,Credit,Sales,Customer Payments,ACH
ACT-11343,2023-03-04,Revenue,Daily Sales Deposit,11152.06,Credit,Sales,Customer Payments,ACH
ACT-11344,2025-12-28,Inventory Purchase,General Inventory Purchase entry,1547.26,Debit,Marketing,Various Wholesale,Check
ACT-11345,2023-03-13,Office Supplies,General Office Supplies entry,1309.96,Debit,Admin,Staples Business,ACH
ACT-11346,2025-04-26,Utilities,General Utilities entry,3346.4,Debit,Operations,City Power & Water,ACH
ACT-11347,2024-03-23,Office Supplies,General Office Supplies entry,3865.44,Debit,Marketing,Staples Business,Check
ACT-11348,2023-09-23,Inventory Purchase,General Inventory Purchase entry,1900.87,Debit,Warehouse,Various Wholesale,ACH
ACT-11349,2023-08-26,Revenue,Daily Sales Deposit,22751.41,Credit,Sales,Customer Payments,Check
ACT-11350,2024-07-25,Revenue,Daily Sales Deposit,20557.66,Credit,Sales,Customer Payments,ACH
ACT-11351,2024-01-18,Revenue,Daily Sales Deposit,6397.31,Credit,Sales,Customer Payments,ACH
ACT-11352,2024-02-18,Office Supplies,General Office Supplies entry,7874.45,Debit,Marketing,Staples Business,ACH
ACT-11353,2024-10-19,Revenue,Daily Sales Deposit,6943.74,Credit,Sales,Customer Payments,ACH
ACT-11354,2025-04-06,Inventory Purchase,General Inventory Purchase entry,1846.16,Debit,Admin,Various Wholesale,Check
ACT-11355,2024-04-19,Office Supplies,General Office Supplies entry,2122.97,Debit,Sales,Staples Business,Credit Card
ACT-11356,2024-04-03,Inventory Purchase,General Inventory Purchase entry,4651.48,Debit,Marketing,Various Wholesale,Check
ACT-11357,2025-02-20,Revenue,Daily Sales Deposit,16765.95,Credit,Sales,Customer Payments,Check
ACT-11358,2023-02-13,Revenue,Daily Sales Deposit,22301.86,Credit,Sales,Customer Payments,Credit Card
ACT-11359,2025-11-10,Revenue,Daily Sales Deposit,10941.76,Credit,Sales,Customer Payments,Check
ACT-11360,2023-09-26,Utilities,General Utilities entry,3073.17,Debit,Marketing,City Power & Water,Credit Card
ACT-11361,2023-04-13,Utilities,General Utilities entry,6069.52,Debit,Admin,City Power & Water,ACH
ACT-11362,2024-05-16,Inventory Purchase,General Inventory Purchase entry,2953.46,Debit,Sales,Various Wholesale,Check
ACT-11363,2024-07-21,Revenue,Daily Sales Deposit,24997.35,Credit,Sales,Customer Payments,ACH
ACT-11364,2024-01-10,Revenue,Daily Sales Deposit,7800.86,Credit,Sales,Customer Payments,ACH
ACT-11365,2024-05-26,Inventory Purchase,General Inventory Purchase entry,5512.64,Debit,Operations,Various Wholesale,ACH
ACT-11366,2024-05-26,Inventory Purchase,General Inventory Purchase entry,5512.64,Debit,Operations,Various Wholesale,ACH
ACT-11367,2024-12-11,Office Supplies,General Office Supplies entry,3842.88,Debit,Sales,Staples Business,Credit Card
ACT-11368,2023-08-08,Inventory Purchase,General Inventory Purchase entry,193.21,Debit,Admin,Various Wholesale,Check
ACT-11369,2024-05-03,Inventory Purchase,General Inventory Purchase entry,2296.71,Debit,Admin,Various Wholesale,ACH
ACT-11370,2025-01-30,Revenue,Daily Sales Deposit,6327.03,Credit,Sales,Customer Payments,ACH
ACT-11371,2025-05-18,Revenue,Daily Sales Deposit,11198.16,Credit,Sales,Customer Payments,Check
ACT-11372,2024-10-19,Revenue,Daily Sales Deposit,6679.57,Credit,Sales,Customer Payments,Check
ACT-11373,2024-11-08,Utilities,General Utilities entry,5074.86,Debit,Operations,City Power & Water,ACH
ACT-11374,2023-07-18,Inventory Purchase,General Inventory Purchase entry,4396.17,Debit,Marketing,Various Wholesale,Check
ACT-11375,2025-07-31,Revenue,Daily Sales Deposit,17555.23,Credit,Sales,Customer Payments,ACH
ACT-11376,2025-08-08,Inventory Purchase,General Inventory Purchase entry,5893.9,Debit,Sales,Various Wholesale,Check
ACT-11377,2023-02-04,Office Supplies,General Office Supplies entry,6140.01,Debit,Admin,Staples Business,ACH
ACT-11378,2025-10-18,Inventory Purchase,General Inventory Purchase entry,4862.42,Debit,Admin,Various Wholesale,Credit Card
ACT-11379,2024-07-09,Office Supplies,General Office Supplies entry,6010.57,Debit,Sales,Staples Business,Credit Card
ACT-11380,2023-11-12,Revenue,Daily Sales Deposit,5332.54,Credit,Sales,Customer Payments,Check
ACT-11381,2023-06-20,Office Supplies,General Office Supplies entry,4553.02,Debit,Sales,Staples Business,Check
ACT-11382,2024-03-24,Revenue,Daily Sales Deposit,22020.8,Credit,Sales,Customer Payments,Credit Card
ACT-11383,2023-11-26,Office Supplies,General Office Supplies entry,5122.01,Debit,Marketing,Staples Business,Credit Card
ACT-11384,2024-06-06,Revenue,Daily Sales Deposit,22636.85,Credit,Sales,Customer Payments,Credit Card
ACT-11385,2023-03-23,Office Supplies,General Office Supplies entry,6242.42,Debit,Admin,Staples Business,Check
ACT-11386,2023-04-30,Revenue,Daily Sales Deposit,18859.23,Credit,Sales,Customer Payments,ACH
ACT-11387,2023-04-28,Office Supplies,General Office Supplies entry,5559.94,Debit,Marketing,Staples Business,Credit Card
ACT-11388,2024-04-09,Revenue,Daily Sales Deposit,16463.63,Credit,Sales,Customer Payments,ACH
ACT-11389,2024-01-01,Utilities,General Utilities entry,2739.71,Debit,Marketing,City Power & Water,Check
ACT-11390,2025-12-14,Revenue,Daily Sales Deposit,21400.62,Credit,Sales,Customer Payments,Credit Card
ACT-11391,2024-05-04,Office Supplies,General Office Supplies entry,4238.23,Debit,Sales,Staples Business,ACH
ACT-11392,2024-05-04,Office Supplies,General Office Supplies entry,4238.23,Debit,Sales,Staples Business,ACH
ACT-11393,2025-06-23,Revenue,Daily Sales Deposit,8820.41,Credit,Sales,Customer Payments,Credit Card
ACT-11394,2023-10-20,Inventory Purchase,General Inventory Purchase entry,1135.99,Debit,Warehouse,Various Wholesale,ACH
ACT-11395,2024-04-26,Inventory Purchase,General Inventory Purchase entry,3028.22,Debit,Operations,Various Wholesale,ACH
ACT-11396,2025-09-21,Utilities,General Utilities entry,4699.59,Debit,Admin,City Power & Water,Credit Card
ACT-11397,2023-08-11,Utilities,General Utilities entry,1977.33,Debit,Marketing,City Power & Water,ACH
ACT-11398,2023-03-15,Office Supplies,General Office Supplies entry,7684.83,Debit,Sales,Staples Business,Check
ACT-11399,2025-11-12,Utilities,General Utilities entry,4626.45,Debit,Admin,City Power & Water,Credit Card
ACT-11400,2025-02-15,Revenue,Daily Sales Deposit,7356.26,Credit,Sales,Customer Payments,Credit Card
ACT-11401,2023-01-24,Revenue,Daily Sales Deposit,19266.01,Credit,Sales,Customer Payments,Credit Card
ACT-11402,2024-09-29,Revenue,Daily Sales Deposit,13853.98,Credit,Sales,Customer Payments,Credit Card
ACT-11403,2025-08-29,Office Supplies,General Office Supplies entry,5332.78,Debit,Sales,Staples Business,Credit Card
ACT-11404,2024-12-17,Revenue,Daily Sales Deposit,18729.59,Credit,Sales,Customer Payments,Check
ACT-11405,2025-07-14,Office Supplies,General Office Supplies entry,3977.82,Debit,Sales,Staples Business,ACH
ACT-11406,2025-06-14,Utilities,General Utilities entry,2657.54,Debit,Admin,City Power & Water,Credit Card
ACT-11407,2025-05-03,Revenue,Daily Sales Deposit,5786.26,Credit,Sales,Customer Payments,Credit Card
ACT-11408,2025-09-03,Utilities,General Utilities entry,700.24,Debit,Operations,City Power & Water,Check
ACT-11409,2023-06-01,Inventory Purchase,General Inventory Purchase entry,2924.41,Debit,Warehouse,Various Wholesale,Credit Card
ACT-11410,2025-10-30,Utilities,General Utilities entry,5170.45,Debit,Sales,City Power & Water,Check
ACT-11411,2024-01-07,Inventory Purchase,General Inventory Purchase entry,5923.65,Debit,Marketing,Various Wholesale,Check
ACT-11412,2024-01-17,Revenue,Daily Sales Deposit,12354.35,Credit,Sales,Customer Payments,Check
ACT-11413,2024-03-20,Revenue,Daily Sales Deposit,19658.66,Credit,Sales,Customer Payments,ACH
ACT-11414,2023-01-19,Inventory Purchase,General Inventory Purchase entry,605.32,Debit,Sales,Various Wholesale,Check
ACT-11415,2025-09-11,Utilities,General Utilities entry,4495.83,Debit,Operations,City Power & Water,Credit Card
ACT-11416,2024-08-04,Inventory Purchase,General Inventory Purchase entry,6222.62,Debit,Admin,Various Wholesale,Credit Card
ACT-11417,2024-11-07,Revenue,Daily Sales Deposit,16828.61,Credit,Sales,Customer Payments,ACH
ACT-11418,2023-08-16,Revenue,Daily Sales Deposit,8065.53,Credit,Sales,Customer Payments,ACH
ACT-11419,2023-06-27,Revenue,Daily Sales Deposit,14662.09,Credit,Sales,Customer Payments,Check
ACT-11420,2025-02-15,Utilities,General Utilities entry,1926.58,Debit,Marketing,City Power & Water,Check
ACT-11421,2025-05-19,Revenue,Daily Sales Deposit,14089.51,Credit,Sales,Customer Payments,Credit Card
ACT-11422,2023-12-06,Inventory Purchase,General Inventory Purchase entry,6183.53,Debit,Sales,Various Wholesale,Credit Card
ACT-11423,2025-08-05,Revenue,Daily Sales Deposit,6079.0,Credit,Sales,Customer Payments,Check
ACT-11424,2024-05-26,Inventory Purchase,General Inventory Purchase entry,7849.19,Debit,Sales,Various Wholesale,Credit Card
ACT-11425,2023-02-11,Office Supplies,General Office Supplies entry,3203.26,Debit,Sales,Staples Business,ACH
ACT-11426,2024-11-04,Revenue,Daily Sales Deposit,14377.35,Credit,Sales,Customer Payments,Credit Card
ACT-11427,2024-04-28,Revenue,Daily Sales Deposit,9737.08,Credit,Sales,Customer Payments,ACH
ACT-11428,2024-11-23,Revenue,Daily Sales Deposit,15555.29,Credit,Sales,Customer Payments,Check
ACT-11429,2024-08-04,Revenue,Daily Sales Deposit,6329.27,Credit,Sales,Customer Payments,Credit Card
ACT-11430,2024-02-15,Office Supplies,General Office Supplies entry,3553.59,Debit,Sales,Staples Business,Credit Card
ACT-11431,2023-10-06,Office Supplies,General Office Supplies entry,241.31,Debit,Admin,Staples Business,Check
ACT-11432,2023-08-29,Inventory Purchase,General Inventory Purchase entry,7474.41,Debit,Marketing,Various Wholesale,Credit Card
ACT-11433,2025-10-04,Office Supplies,General Office Supplies entry,1204.24,Debit,Operations,Staples Business,ACH
ACT-11434,2025-08-02,Inventory Purchase,General Inventory Purchase entry,6752.96,Debit,Warehouse,Various Wholesale,Credit Card
ACT-11435,2023-01-16,Inventory Purchase,General Inventory Purchase entry,1123.67,Debit,Sales,Various Wholesale,ACH
ACT-11436,2024-12-19,Revenue,Daily Sales Deposit,5819.6,Credit,Sales,Customer Payments,Credit Card
ACT-11437,2024-01-09,Revenue,Daily Sales Deposit,10343.62,Credit,Sales,Customer Payments,ACH
ACT-11438,2025-08-16,Office Supplies,General Office Supplies entry,5795.76,Debit,Admin,Staples Business,ACH
ACT-11439,2024-01-03,Office Supplies,General Office Supplies entry,5310.26,Debit,Admin,Staples Business,Check
ACT-11440,2023-01-15,Inventory Purchase,General Inventory Purchase entry,2794.77,Debit,Admin,Various Wholesale,ACH
ACT-11441,2024-07-01,Utilities,General Utilities entry,5803.42,Debit,Sales,City Power & Water,Credit Card
ACT-11442,2024-08-13,Inventory Purchase,General Inventory Purchase entry,4982.38,Debit,Marketing,Various Wholesale,Check
ACT-11443,2023-03-28,Utilities,General Utilities entry,7726.52,Debit,Warehouse,City Power & Water,ACH
ACT-11444,2025-07-29,Inventory Purchase,General Inventory Purchase entry,1676.95,Debit,Admin,Various Wholesale,ACH
ACT-11445,2023-04-08,Utilities,General Utilities entry,2915.65,Debit,Admin,City Power & Water,ACH
ACT-11446,2025-07-02,Office Supplies,General Office Supplies entry,3357.23,Debit,Warehouse,Staples Business,ACH
ACT-11447,2025-03-29,Revenue,Daily Sales Deposit,20159.48,Credit,Sales,Customer Payments,Credit Card
ACT-11448,2024-01-15,Revenue,Daily Sales Deposit,12856.02,Credit,Sales,Customer Payments,Credit Card
ACT-11449,2025-10-08,Revenue,Daily Sales Deposit,6277.8,Credit,Sales,Customer Payments,Check
ACT-11450,2024-03-05,Inventory Purchase,General Inventory Purchase entry,5058.26,Debit,Operations,Various Wholesale,ACH
ACT-11451,2024-04-19,Revenue,Daily Sales Deposit,21099.43,Credit,Sales,Customer Payments,Check
ACT-11452,2025-02-17,Office Supplies,General Office Supplies entry,6150.24,Debit,Operations,Staples Business,Credit Card
ACT-11453,2023-08-18,Office Supplies,General Office Supplies entry,100.21,Debit,Admin,Staples Business,Credit Card
ACT-11454,2025-12-15,Revenue,Daily Sales Deposit,17797.58,Credit,Sales,Customer Payments,ACH
ACT-11455,2023-11-11,Revenue,Daily Sales Deposit,15116.82,Credit,Sales,Customer Payments,Credit Card
ACT-11456,2023-02-21,Revenue,Daily Sales Deposit,15367.04,Credit,Sales,Customer Payments,Check
ACT-11457,2025-04-11,Revenue,Daily Sales Deposit,15381.95,Credit,Sales,Customer Payments,Credit Card
ACT-11458,2025-07-29,Office Supplies,General Office Supplies entry,2786.04,Debit,Warehouse,Staples Business,Check
ACT-11459,2024-05-15,Revenue,Daily Sales Deposit,11999.82,Credit,Sales,Customer Payments,Check
ACT-11460,2023-03-31,Office Supplies,General Office Supplies entry,2152.19,Debit,Warehouse,Staples Business,ACH
ACT-11461,2025-04-25,Revenue,Daily Sales Deposit,17797.64,Credit,Sales,Customer Payments,Credit Card
ACT-11462,2024-04-08,Revenue,Daily Sales Deposit,23679.69,Credit,Sales,Customer Payments,Credit Card
ACT-11463,2025-11-21,Inventory Purchase,General Inventory Purchase entry,7689.44,Debit,Sales,Various Wholesale,Check
ACT-11464,2025-11-08,Utilities,General Utilities entry,3495.71,Debit,Warehouse,City Power & Water,Check
ACT-11465,2023-07-22,Revenue,Daily Sales Deposit,5952.26,Credit,Sales,Customer Payments,ACH
ACT-11466,2023-02-09,Revenue,Daily Sales Deposit,17181.58,Credit,Sales,Customer Payments,Credit Card
ACT-11467,2025-11-26,Revenue,Daily Sales Deposit,21165.73,Credit,Sales,Customer Payments,ACH
ACT-11468,2024-11-06,Revenue,Daily Sales Deposit,12254.82,Credit,Sales,Customer Payments,Credit Card
ACT-11469,2025-12-01,Revenue,Daily Sales Deposit,21314.37,Credit,Sales,Customer Payments,ACH
