invoice_acct_id,date,account,description,amount,type,department,vendor,payment_method
ACT-11616,2024-03-14,Revenue,Daily Sales Deposit,5883.64,Credit,Sales,Customer Payments,Check
ACT-11617,2023-04-06,Revenue,Daily Sales Deposit,6042.48,Credit,Sales,Customer Payments,ACH
ACT-11618,2024-07-28,Revenue,Daily Sales Deposit,2788.47,Credit,Sales,Customer Payments,ACH
ACT-11619,2025-08-13,Revenue,Daily Sales Deposit,3194.41,Credit,Sales,Customer Payments,Credit Card
ACT-11620,2024-06-06,Utilities,General Utilities entry,167.81,Debit,Warehouse,City Power & Water,Check
ACT-11621,2025-03-09,Revenue,Daily Sales Deposit,3562.44,Credit,Sales,Customer Payments,Credit Card
ACT-11622,2023-01-02,Inventory Purchase,General Inventory Purchase entry,497.17,Debit,Sales,Various Wholesale,ACH
ACT-11623,2025-06-06,Office Supplies,General Office Supplies entry,422.53,Debit,Marketing,Staples Business,Credit Card
ACT-11624,2025-08-10,Revenue,Daily Sales Deposit,3941.79,Credit,Sales,Customer Payments,Check
ACT-11625,2024-12-31,Revenue,Daily Sales Deposit,4374.23,Credit,Sales,Customer Payments,Credit Card
ACT-11626,2025-07-19,Office Supplies,General Office Supplies entry,559.36,Debit,Warehouse,Staples Business,Credit Card
ACT-11627,2025-07-01,Inventory Purchase,General Inventory Purchase entry,1938.73,Debit,Operations,Various Wholesale,ACH
ACT-11628,2024-08-09,Inventory Purchase,General Inventory Purchase entry,1923.58,Debit,Admin,Various Wholesale,ACH
ACT-11629,2024-03-23,Utilities,General Utilities entry,1443.6,Debit,Marketing,City Power & Water,Credit Card
ACT-11630,2024-03-21,Utilities,General Utilities entry,1925.71,Debit,Warehouse,City Power & Water,Credit Card
ACT-11631,2023-10-04,Utilities,General Utilities entry,318.52,Debit,Sales,City Power & Water,Credit Card
ACT-11632,2023-05-29,Office Supplies,General Office Supplies entry,954.37,Debit,Admin,Staples Business,Check
ACT-11633,2024-03-25,Inventory Purchase,General Inventory Purchase entry,1369.32,Debit,Marketing,Various Wholesale,ACH
ACT-11634,2023-10-20,Utilities,General Utilities entry,1850.54,Debit,Marketing,City Power & Water,ACH
ACT-11635,2024-04-01,Utilities,General Utilities entry,1662.42,Debit,Admin,City Power & Water,ACH
ACT-11636,2025-06-03,Inventory Purchase,General Inventory Purchase entry,954.92,Debit,Sales,Various Wholesale,ACH
ACT-11637,2023-02-04,Inventory Purchase,General Inventory Purchase entry,1314.8,Debit,Sales,Various Wholesale,Credit Card
ACT-11638,2024-02-23,Office Supplies,General Office Supplies entry,37.82,Debit,Admin,Staples Business,Credit Card
ACT-11639,2025-03-26,Utilities,General Utilities entry,1571.04,Debit,Warehouse,City Power & Water,ACH
ACT-11640,2023-05-06,Office Supplies,General Office Supplies entry,676.38,Debit,Marketing,Staples Business,ACH
ACT-11641,2024-04-18,Inventory Purchase,General Inventory Purchase entry,1812.72,Debit,Admin,Various Wholesale,ACH
ACT-11642,2025-07-29,Utilities,General Utilities entry,1940.56,Debit,Marketing,City Power & Water,ACH
ACT-11643,2025-12-16,Inventory Purchase,General Inventory Purchase entry,1645.16,Debit,Marketing,Various Wholesale,ACH
ACT-11644,2024-02-21,Inventory Purchase,General Inventory Purchase entry,253.84,Debit,Sales,Various Wholesale,Credit Card
ACT-11645,2025-08-22,Inventory Purchase,General Inventory Purchase entry,1007.14,Debit,Admin,Various Wholesale,Credit Card
ACT-11646,2024-08-18,Inventory Purchase,General Inventory Purchase entry,678.08,Debit,Warehouse,Various Wholesale,Credit Card
ACT-11647,2025-05-23,Revenue,Daily Sales Deposit,4487.26,Credit,Sales,Customer Payments,ACH
ACT-11648,2025-07-30,Revenue,Daily Sales Deposit,5366.74,Credit,Sales,Customer Payments,ACH
ACT-11649,2024-02-04,Revenue,Daily Sales Deposit,2202.32,Credit,Sales,Customer Payments,Check
ACT-11650,2024-11-11,Office Supplies,General Office Supplies entry,324.77,Debit,Operations,Staples Business,Check
ACT-11651,2024-09-06,Utilities,General Utilities entry,42.75,Debit,Admin,City Power & Water,Check
ACT-11652,2025-05-05,Office Supplies,General Office Supplies entry,1474.35,Debit,Operations,Staples Business,Credit Card
ACT-11653,2024-04-26,Inventory Purchase,General Inventory Purchase entry,117.53,Debit,Marketing,Various Wholesale,Credit Card
ACT-11654,2024-04-26,Inventory Purchase,General Inventory Purchase entry,117.53,Debit,Marketing,Various Wholesale,Credit Card
ACT-11655,2025-03-09,Office Supplies,General Office Supplies entry,331.93,Debit,Marketing,Staples Business,ACH
ACT-11656,2024-06-15,Office Supplies,General Office Supplies entry,210.66,Debit,Sales,Staples Business,Check
ACT-11657,2023-10-28,Inventory Purchase,General Inventory Purchase entry,1345.83,Debit,Operations,Various Wholesale,ACH
ACT-11658,2024-11-11,Utilities,General Utilities entry,363.76,Debit,Admin,City Power & Water,Check
ACT-11659,2023-12-12,Utilities,General Utilities entry,837.16,Debit,Admin,City Power & Water,Check
ACT-11660,2025-06-19,Office Supplies,General Office Supplies entry,1546.93,Debit,Marketing,Staples Business,Check
ACT-11661,2025-07-18,Revenue,Daily Sales Deposit,5705.96,Credit,Sales,Customer Payments,ACH
ACT-11662,2023-08-27,Revenue,Daily Sales Deposit,1448.9,Credit,Sales,Customer Payments,Check
ACT-11663,2023-03-04,Revenue,Daily Sales Deposit,2224.95,Credit,Sales,Customer Payments,ACH
ACT-11664,2025-06-23,Utilities,General Utilities entry,1963.53,Debit,Warehouse,City Power & Water,Credit Card
ACT-11665,2024-10-29,Revenue,Daily Sales Deposit,6091.1,Credit,Sales,Customer Payments,Credit Card
ACT-11666,2025-03-30,Office Supplies,General Office Supplies entry,515.69,Debit,Sales,Staples Business,Check
ACT-11667,2025-11-01,Office Supplies,General Office Supplies entry,1604.42,Debit,Operations,Staples Business,ACH
ACT-11668,2023-09-06,Office Supplies,General Office Supplies entry,1707.19,Debit,Operations,Staples Business,Credit Card
ACT-11669,2025-01-27,Office Supplies,General Office Supplies entry,1398.2,Debit,Operations,Staples Business,Credit Card
ACT-11670,2025-10-25,Inventory Purchase,General Inventory Purchase entry,1809.94,Debit,Operations,Various Wholesale,Check
ACT-11671,2024-01-29,Revenue,Daily Sales Deposit,2703.8,Credit,Sales,Customer Payments,Credit Card
ACT-11672,2023-07-01,Revenue,Daily Sales Deposit,4422.13,Credit,Sales,Customer Payments,Credit Card
ACT-11673,2024-03-02,Utilities,General Utilities entry,686.91,Debit,Warehouse,City Power & Water,Credit Card
ACT-11674,2025-01-24,Office Supplies,General Office Supplies entry,151.29,Debit,Admin,Staples Business,Check
ACT-11675,2025-03-06,Inventory Purchase,General Inventory Purchase entry,364.2,Debit,Marketing,Various Wholesale,Credit Card
ACT-11676,2024-11-26,Utilities,General Utilities entry,609.44,Debit,Operations,City Power & Water,Credit Card
ACT-11677,2025-09-17,Revenue,Daily Sales Deposit,1561.15,Credit,Sales,Customer Payments,Check
ACT-11678,2025-06-28,Office Supplies,General Office Supplies entry,586.37,Debit,Operations,Staples Business,Check
ACT-11679,2023-07-17,Revenue,Daily Sales Deposit,2866.72,Credit,Sales,Customer Payments,Credit Card
ACT-11680,2023-06-12,Revenue,Daily Sales Deposit,5876.21,Credit,Sales,Customer Payments,Credit Card
ACT-11681,2024-12-19,Utilities,General Utilities entry,1067.38,Debit,Admin,City Power & Water,Credit Card
ACT-11682,2025-01-03,Inventory Purchase,General Inventory Purchase entry,508.52,Debit,Admin,Various Wholesale,ACH
ACT-11683,2025-02-01,Revenue,Daily Sales Deposit,3499.5,Credit,Sales,Customer Payments,Credit Card
ACT-11684,2023-02-05,Inventory Purchase,General Inventory Purchase entry,328.22,Debit,Sales,Various Wholesale,Check
ACT-11685,2023-05-04,Utilities,General Utilities entry,376.74,Debit,Marketing,City Power & Water,ACH
ACT-11686,2023-10-01,Revenue,Daily Sales Deposit,2740.58,Credit,Sales,Customer Payments,Credit Card
ACT-11687,2023-01-13,Revenue,Daily Sales Deposit,4783.73,Credit,Sales,Customer Payments,Check
ACT-11688,2023-12-15,Office Supplies,General Office Supplies entry,696.65,Debit,Marketing,Staples Business,ACH
ACT-11689,2025-12-26,Revenue,Daily Sales Deposit,4322.19,Credit,Sales,Customer Payments,Credit Card
ACT-11690,2025-01-01,Office Supplies,General Office Supplies entry,1007.27,Debit,Admin,Staples Business,Credit Card
ACT-11691,2024-05-31,Inventory Purchase,General Inventory Purchase entry,1255.7,Debit,Operations,Various Wholesale,Credit Card
ACT-11692,2024-05-22,Office Supplies,General Office Supplies entry,1484.72,Debit,Marketing,Staples Business,Credit Card
ACT-11693,2024-08-13,Revenue,Daily Sales Deposit,2471.66,Credit,Sales,Customer Payments,ACH
ACT-11694,2024-03-21,Inventory Purchase,General Inventory Purchase entry,1447.38,Debit,Operations,Various Wholesale,Credit Card
ACT-11695,2023-02-04,Revenue,Daily Sales Deposit,1989.75,Credit,Sales,Customer Payments,Check
ACT-11696,2025-04-07,Utilities,General Utilities entry,753.42,Debit,Admin,City Power & Water,ACH
ACT-11697,2025-10-17,Revenue,Daily Sales Deposit,4291.69,Credit,Sales,Customer Payments,Credit Card
ACT-11698,2025-04-11,Office Supplies,General Office Supplies entry,1924.08,Debit,Marketing,Staples Business,Credit Card
ACT-11699,2024-01-10,Revenue,Daily Sales Deposit,3790.96,Credit,Sales,Customer Payments,Credit Card
ACT-11700,2023-09-05,Utilities,General Utilities entry,917.52,Debit,Admin,City Power & Water,Check
ACT-11701,2025-12-17,Office Supplies,General Office Supplies entry,1128.5,Debit,Marketing,Staples Business,Credit Card
ACT-11702,2024-02-22,Office Supplies,General Office Supplies entry,918.24,Debit,Warehouse,Staples Business,ACH
ACT-11703,2023-12-28,Office Supplies,General Office Supplies entry,1827.32,Debit,Sales,Staples Business,Check
ACT-11704,2025-12-16,Utilities,General Utilities entry,1842.15,Debit,Sales,City Power & Water,Check
ACT-11705,2024-10-06,Revenue,Daily Sales Deposit,1421.81,Credit,Sales,Customer Payments,ACH
ACT-11706,2025-12-25,Office Supplies,General Office Supplies entry,1247.56,Debit,Warehouse,Staples Business,Check
ACT-11707,2023-04-08,Utilities,General Utilities entry,1787.57,Debit,Marketing,City Power & Water,Credit Card
ACT-11708,2023-05-15,Revenue,Daily Sales Deposit,5149.52,Credit,Sales,Customer Payments,Check
ACT-11709,2024-08-25,Revenue,Daily Sales Deposit,1989.68,Credit,Sales,Customer Payments,Check
ACT-11710,2023-12-22,Revenue,Daily Sales Deposit,5828.98,Credit,Sales,Customer Payments,Check
ACT-11711,2024-04-10,Revenue,Daily Sales Deposit,5669.23,Credit,Sales,Customer Payments,Check
ACT-11712,2024-12-26,Office Supplies,General Office Supplies entry,671.37,Debit,Marketing,Staples Business,Credit Card
ACT-11713,2024-05-29,Inventory Purchase,General Inventory Purchase entry,1201.88,Debit,Marketing,Various Wholesale,ACH
ACT-11714,2023-08-01,Office Supplies,General Office Supplies entry,1080.41,Debit,Sales,Staples Business,Check
ACT-11715,2024-12-02,Revenue,Daily Sales Deposit,2558.48,Credit,Sales,Customer Payments,ACH
ACT-11716,2025-07-08,Revenue,Daily Sales Deposit,5636.9,Credit,Sales,Customer Payments,ACH
ACT-11717,2025-04-02,Revenue,Daily Sales Deposit,5331.77,Credit,Sales,Customer Payments,Credit Card
ACT-11718,2023-02-21,Utilities,General Utilities entry,406.36,Debit,Operations,City Power & Water,Credit Card
ACT-11719,2025-08-22,Office Supplies,General Office Supplies entry,114.82,Debit,Admin,Staples Business,ACH
ACT-11720,2024-05-23,Office Supplies,General Office Supplies entry,646.16,Debit,Marketing,Staples Business,ACH
ACT-11721,2025-09-12,Office Supplies,General Office Supplies entry,202.79,Debit,Operations,Staples Business,Credit Card
ACT-11722,2025-05-11,Office Supplies,General Office Supplies entry,1774.78,Debit,Marketing,Staples Business,ACH
ACT-11723,2025-01-07,Inventory Purchase,General Inventory Purchase entry,189.28,Debit,Warehouse,Various Wholesale,Credit Card
ACT-11724,2023-08-25,Revenue,Daily Sales Deposit,4095.4,Credit,Sales,Customer Payments,Credit Card
ACT-11725,2023-03-25,Inventory Purchase,General Inventory Purchase entry,1610.66,Debit,Admin,Various Wholesale,ACH
ACT-11726,2025-06-30,Utilities,General Utilities entry,1380.21,Debit,Warehouse,City Power & Water,ACH
ACT-11727,2025-10-22,Inventory Purchase,General Inventory Purchase entry,766.69,Debit,Admin,Various Wholesale,ACH
ACT-11728,2025-10-18,Office Supplies,General Office Supplies entry,1228.37,Debit,Warehouse,Staples Business,Check
ACT-11729,2024-03-11,Revenue,Daily Sales Deposit,5792.55,Credit,Sales,Customer Payments,Credit Card
ACT-11730,2024-08-03,Revenue,Daily Sales Deposit,5915.73,Credit,Sales,Customer Payments,Check
ACT-11731,2023-09-16,Office Supplies,General Office Supplies entry,904.15,Debit,Sales,Staples Business,Check
ACT-11732,2024-11-22,Office Supplies,General Office Supplies entry,1278.86,Debit,Admin,Staples Business,Check
ACT-11733,2024-10-03,Revenue,Daily Sales Deposit,3321.38,Credit,Sales,Customer Payments,ACH
ACT-11734,2023-07-06,Inventory Purchase,General Inventory Purchase entry,603.34,Debit,Marketing,Various Wholesale,ACH
ACT-11735,2024-06-03,Revenue,Daily Sales Deposit,2424.56,Credit,Sales,Customer Payments,Check
ACT-11736,2024-09-04,Revenue,Daily Sales Deposit,2896.0,Credit,Sales,Customer Payments,Check
ACT-11737,2025-12-25,Utilities,General Utilities entry,1094.12,Debit,Marketing,City Power & Water,Credit Card
ACT-11738,2025-11-02,Office Supplies,General Office Supplies entry,195.03,Debit,Warehouse,Staples Business,Credit Card
ACT-11739,2025-12-09,Inventory Purchase,General Inventory Purchase entry,279.25,Debit,Warehouse,Various Wholesale,Check
ACT-11740,2025-05-11,Utilities,General Utilities entry,149.91,Debit,Operations,City Power & Water,ACH
ACT-11741,2023-12-22,Office Supplies,General Office Supplies entry,1777.82,Debit,Admin,Staples Business,ACH
ACT-11742,2024-04-02,Utilities,General Utilities entry,1924.95,Debit,Operations,City Power & Water,ACH
ACT-11743,2024-09-29,Revenue,Daily Sales Deposit,2929.85,Credit,Sales,Customer Payments,Credit Card
ACT-11744,2024-07-10,Revenue,Daily Sales Deposit,4414.68,Credit,Sales,Customer Payments,Check
ACT-11745,2023-09-02,Inventory Purchase,General Inventory Purchase entry,634.18,Debit,Marketing,Various Wholesale,ACH
ACT-11746,2023-05-13,Revenue,Daily Sales Deposit,2346.26,Credit,Sales,Customer Payments,Check
ACT-11747,2024-04-06,Revenue,Daily Sales Deposit,1697.28,Credit,Sales,Customer Payments,Check
ACT-11748,2025-11-26,Utilities,General Utilities entry,1614.54,Debit,Warehouse,City Power & Water,ACH
ACT-11749,2024-07-07,Inventory Purchase,General Inventory Purchase entry,1384.93,Debit,Warehouse,Various Wholesale,Credit Card
ACT-11750,2024-10-26,Office Supplies,General Office Supplies entry,791.82,Debit,Admin,Staples Business,ACH
ACT-11751,2025-03-21,Revenue,Daily Sales Deposit,3975.41,Credit,Sales,Customer Payments,ACH
ACT-11752,2023-06-25,Revenue,Daily Sales Deposit,3090.14,Credit,Sales,Customer Payments,ACH
ACT-11753,2023-08-22,Office Supplies,General Office Supplies entry,1428.6,Debit,Warehouse,Staples Business,Check
ACT-11754,2025-06-27,Inventory Purchase,General Inventory Purchase entry,1032.08,Debit,Marketing,Various Wholesale,Check
ACT-11755,2024-08-12,Office Supplies,General Office Supplies entry,1152.1,Debit,Marketing,Staples Business,Check
ACT-11756,2025-01-16,Office Supplies,General Office Supplies entry,360.23,Debit,Marketing,Staples Business,Check
ACT-11757,2024-03-04,Revenue,Daily Sales Deposit,2268.1,Credit,Sales,Customer Payments,Credit Card
ACT-11758,2025-06-01,Utilities,General Utilities entry,898.38,Debit,Admin,City Power & Water,ACH
ACT-11759,2023-09-28,Revenue,Daily Sales Deposit,2478.27,Credit,Sales,Customer Payments,ACH
ACT-11760,2023-07-10,Revenue,Daily Sales Deposit,3951.7,Credit,Sales,Customer Payments,Credit Card
ACT-11761,2023-07-10,Revenue,Daily Sales Deposit,3951.7,Credit,Sales,Customer Payments,Credit Card
ACT-11762,2023-05-08,Office Supplies,General Office Supplies entry,1228.26,Debit,Operations,Staples Business,Credit Card
ACT-11763,2023-08-03,Revenue,Daily Sales Deposit,1566.2,Credit,Sales,Customer Payments,ACH
ACT-11764,2024-01-23,Office Supplies,General Office Supplies entry,126.88,Debit,Admin,Staples Business,Check
ACT-11765,2024-11-03,Revenue,Daily Sales Deposit,3129.06,Credit,Sales,Customer Payments,Credit Card
ACT-11766,2024-12-19,Utilities,General Utilities entry,167.5,Debit,Operations,City Power & Water,ACH
ACT-11767,2023-02-20,Utilities,General Utilities entry,490.22,Debit,Admin,City Power & Water,ACH
ACT-11768,2025-08-26,Inventory Purchase,General Inventory Purchase entry,1835.81,Debit,Admin,Various Wholesale,ACH
ACT-11769,2025-09-01,Inventory Purchase,General Inventory Purchase entry,1022.84,Debit,Sales,Various Wholesale,Credit Card
ACT-11770,2025-10-05,Inventory Purchase,General Inventory Purchase entry,108.34,Debit,Operations,Various Wholesale,ACH
ACT-11771,2024-01-20,Office Supplies,General Office Supplies entry,251.72,Debit,Operations,Staples Business,Check
ACT-11772,2023-05-29,Utilities,General Utilities entry,218.15,Debit,Operations,City Power & Water,ACH
ACT-11773,2023-09-05,Office Supplies,General Office Supplies entry,1732.23,Debit,Sales,Staples Business,ACH
ACT-11774,2023-07-17,Revenue,Daily Sales Deposit,4688.6,Credit,Sales,Customer Payments,Check
ACT-11775,2024-03-14,Office Supplies,General Office Supplies entry,1415.52,Debit,Warehouse,Staples Business,ACH
ACT-11776,2024-11-06,Office Supplies,General Office Supplies entry,1739.71,Debit,Marketing,Staples Business,ACH
ACT-11777,2024-02-10,Revenue,Daily Sales Deposit,5979.19,Credit,Sales,Customer Payments,Check
ACT-11778,2024-12-30,Office Supplies,General Office Supplies entry,1726.95,Debit,Marketing,Staples Business,Check
ACT-11779,2025-01-18,Office Supplies,General Office Supplies entry,1107.18,Debit,Admin,Staples Business,Credit Card
ACT-11780,2025-09-11,Inventory Purchase,General Inventory Purchase entry,610.92,Debit,Admin,Various Wholesale,Check
ACT-11781,2025-03-23,Revenue,Daily Sales Deposit,6059.68,Credit,Sales,Customer Payments,ACH
ACT-11782,2024-12-15,Office Supplies,General Office Supplies entry,651.93,Debit,Operations,Staples Business,Check
ACT-11783,2025-08-10,Revenue,Daily Sales Deposit,4624.64,Credit,Sales,Customer Payments,Credit Card
ACT-11784,2025-07-18,Revenue,Daily Sales Deposit,3480.14,Credit,Sales,Customer Payments,ACH
ACT-11785,2024-10-31,Revenue,Daily Sales Deposit,5736.88,Credit,Sales,Customer Payments,Check
ACT-11786,2024-03-07,Utilities,General Utilities entry,1203.06,Debit,Admin,City Power & Water,Credit Card
ACT-11787,2024-12-03,Inventory Purchase,General Inventory Purchase entry,1323.55,Debit,Marketing,Various Wholesale,Credit Card
ACT-11788,2025-11-05,Office Supplies,General Office Supplies entry,251.28,Debit,Operations,Staples Business,ACH
ACT-11789,2024-09-05,Utilities,General Utilities entry,1552.02,Debit,Operations,City Power & Water,ACH
ACT-11790,2024-05-23,Utilities,General Utilities entry,1636.79,Debit,Warehouse,City Power & Water,Credit Card
ACT-11791,2023-06-13,Revenue,Daily Sales Deposit,5610.79,Credit,Sales,Customer Payments,Check
ACT-11792,2023-03-26,Revenue,Daily Sales Deposit,5148.8,Credit,Sales,Customer Payments,Check
ACT-11793,2024-02-01,Revenue,Daily Sales Deposit,3139.32,Credit,Sales,Customer Payments,Credit Card
ACT-11794,2024-06-05,Inventory Purchase,General Inventory Purchase entry,517.22,Debit,Sales,Various Wholesale,ACH
ACT-11795,2023-12-13,Utilities,General Utilities entry,281.56,Debit,Sales,City Power & Water,ACH
ACT-11796,2023-05-19,Inventory Purchase,General Inventory Purchase entry,488.8,Debit,Sales,Various Wholesale,Check
ACT-11797,2024-12-03,Revenue,Daily Sales Deposit,3349.73,Credit,Sales,Customer Payments,ACH
ACT-11798,2025-03-05,Revenue,Daily Sales Deposit,4425.13,Credit,Sales,Customer Payments,ACH
ACT-11799,2023-12-19,Revenue,Daily Sales Deposit,1596.44,Credit,Sales,Customer Payments,ACH
ACT-11800,2023-12-19,Revenue,Daily Sales Deposit,1596.44,Credit,Sales,Customer Payments,ACH
ACT-11801,2025-09-20,Office Supplies,General Office Supplies entry,717.78,Debit,Sales,Staples Business,ACH
ACT-11802,2025-04-30,Revenue,Daily Sales Deposit,2218.53,Credit,Sales,Customer Payments,ACH
ACT-11803,2025-03-17,Revenue,Daily Sales Deposit,4290.25,Credit,Sales,Customer Payments,ACH
ACT-11804,2023-02-04,Inventory Purchase,General Inventory Purchase entry,1443.84,Debit,Marketing,Various Wholesale,ACH
ACT-11805,2025-04-26,Revenue,Daily Sales Deposit,3304.47,Credit,Sales,Customer Payments,ACH
ACT-11806,2024-04-14,Inventory Purchase,General Inventory Purchase entry,1720.63,Debit,Sales,Various Wholesale,Credit Card
ACT-11807,2024-08-08,Utilities,General Utilities entry,887.45,Debit,Admin,City Power & Water,Credit Card
ACT-11808,2025-07-04,Utilities,General Utilities entry,174.15,Debit,Operations,City Power & Water,Check
ACT-11809,2023-12-16,Utilities,General Utilities entry,1044.49,Debit,Admin,City Power & Water,Credit Card
ACT-11810,2024-11-07,Office Supplies,General Office Supplies entry,472.52,Debit,Marketing,Staples Business,Check
ACT-11811,2024-05-30,Utilities,General Utilities entry,1777.62,Debit,Admin,City Power & Water,Check
ACT-11812,2024-12-18,Office Supplies,General Office Supplies entry,1085.78,Debit,Admin,Staples Business,ACH
ACT-11813,2024-07-07,Utilities,General Utilities entry,1126.92,Debit,Sales,City Power & Water,ACH
ACT-11814,2025-12-11,Office Supplies,General Office Supplies entry,636.47,Debit,Operations,Staples Business,Credit Card
ACT-11815,2023-04-19,Inventory Purchase,General Inventory Purchase entry,1343.21,Debit,Marketing,Various Wholesale,Check
ACT-11816,2024-03-06,Utilities,General Utilities entry,500.09,Debit,Operations,City Power & Water,Credit Card
ACT-11817,2023-03-05,Utilities,General Utilities entry,1470.26,Debit,Admin,City Power & Water,Credit Card
ACT-11818,2023-07-31,Inventory Purchase,General Inventory Purchase entry,143.84,Debit,Warehouse,Various Wholesale,Check
ACT-11819,2023-08-05,Utilities,General Utilities entry,1177.65,Debit,Admin,City Power & Water,Check
ACT-11820,2025-08-26,Utilities,General Utilities entry,447.43,Debit,Marketing,City Power & Water,Credit Card
ACT-11821,2024-12-28,Revenue,Daily Sales Deposit,5291.54,Credit,Sales,Customer Payments,Check
ACT-11822,2025-12-27,Inventory Purchase,General Inventory Purchase entry,1927.39,Debit,Operations,Various Wholesale,ACH
ACT-11823,2025-02-17,Revenue,Daily Sales Deposit,3539.6,Credit,Sales,Customer Payments,Credit Card
ACT-11824,2023-08-28,Revenue,Daily Sales Deposit,2862.68,Credit,Sales,Customer Payments,Check
ACT-11825,2023-06-30,Revenue,Daily Sales Deposit,4422.03,Credit,Sales,Customer Payments,Credit Card
ACT-11826,2025-02-13,Revenue,Daily Sales Deposit,3830.91,Credit,Sales,Customer Payments,Credit Card
ACT-11827,2025-02-13,Revenue,Daily Sales Deposit,3830.91,Credit,Sales,Customer Payments,Credit Card
ACT-11828,2025-05-25,Utilities,General Utilities entry,1506.39,Debit,Marketing,City Power & Water,Check
ACT-11829,2023-06-04,Revenue,Daily Sales Deposit,2863.98,Credit,Sales,Customer Payments,Check
ACT-11830,2023-02-11,Utilities,General Utilities entry,321.86,Debit,Operations,City Power & Water,ACH
ACT-11831,2023-08-14,Utilities,General Utilities entry,636.99,Debit,Sales,City Power & Water,Credit Card
ACT-11832,2023-06-24,Inventory Purchase,General Inventory Purchase entry,1733.31,Debit,Marketing,Various Wholesale,Check
ACT-11833,2023-04-06,Inventory Purchase,General Inventory Purchase entry,1355.45,Debit,Sales,Various Wholesale,Check
ACT-11834,2024-06-28,Revenue,Daily Sales Deposit,5282.22,Credit,Sales,Customer Payments,Check
ACT-11835,2024-03-20,Utilities,General Utilities entry,1907.58,Debit,Sales,City Power & Water,Check
ACT-11836,2025-01-17,Office Supplies,General Office Supplies entry,378.54,Debit,Sales,Staples Business,Credit Card
ACT-11837,2024-03-12,Inventory Purchase,General Inventory Purchase entry,610.28,Debit,Marketing,Various Wholesale,ACH
ACT-11838,2023-02-16,Revenue,Daily Sales Deposit,2290.31,Credit,Sales,Customer Payments,Credit Card
ACT-11839,2024-09-05,Office Supplies,General Office Supplies entry,402.69,Debit,Operations,Staples Business,Credit Card
ACT-11840,2025-09-20,Inventory Purchase,General Inventory Purchase entry,79.88,Debit,Sales,Various Wholesale,Check
ACT-11841,2023-08-24,Inventory Purchase,General Inventory Purchase entry,1810.11,Debit,Sales,Various Wholesale,ACH
ACT-11842,2023-07-13,Inventory Purchase,General Inventory Purchase entry,529.36,Debit,Warehouse,Various Wholesale,Credit Card
ACT-11843,2023-05-23,Utilities,General Utilities entry,1941.37,Debit,Admin,City Power & Water,ACH
ACT-11844,2024-10-11,Inventory Purchase,General Inventory Purchase entry,1199.08,Debit,Admin,Various Wholesale,ACH
ACT-11845,2023-11-19,Revenue,Daily Sales Deposit,4471.9,Credit,Sales,Customer Payments,ACH
ACT-11846,2023-11-04,Utilities,General Utilities entry,1949.7,Debit,Warehouse,City Power & Water,Credit Card
ACT-11847,2024-05-11,Inventory Purchase,General Inventory Purchase entry,386.8,Debit,Warehouse,Various Wholesale,Check
ACT-11848,2025-05-31,Utilities,General Utilities entry,369.14,Debit,Sales,City Power & Water,ACH
ACT-11849,2025-01-02,Utilities,General Utilities entry,59.48,Debit,Operations,City Power & Water,ACH
ACT-11850,2023-08-18,Office Supplies,General Office Supplies entry,1773.94,Debit,Marketing,Staples Business,Credit Card
ACT-11851,2023-09-16,Office Supplies,General Office Supplies entry,873.42,Debit,Marketing,Staples Business,ACH
ACT-11852,2024-11-27,Revenue,Daily Sales Deposit,1780.95,Credit,Sales,Customer Payments,Check
ACT-11853,2023-01-14,Office Supplies,General Office Supplies entry,1284.76,Debit,Admin,Staples Business,ACH
ACT-11854,2025-11-02,Inventory Purchase,General Inventory Purchase entry,98.0,Debit,Marketing,Various Wholesale,Credit Card
ACT-11855,2023-01-27,Inventory Purchase,General Inventory Purchase entry,327.75,Debit,Marketing,Various Wholesale,Check
ACT-11856,2024-11-28,Revenue,Daily Sales Deposit,4448.77,Credit,Sales,Customer Payments,Check
ACT-11857,2024-02-02,Utilities,General Utilities entry,544.92,Debit,Admin,City Power & Water,Check
ACT-11858,2023-10-30,Revenue,Daily Sales Deposit,1396.16,Credit,Sales,Customer Payments,Credit Card
ACT-11859,2023-01-01,Revenue,Daily Sales Deposit,2767.76,Credit,Sales,Customer Payments,Credit Card
ACT-11860,2023-01-18,Revenue,Daily Sales Deposit,5806.4,Credit,Sales,Customer Payments,ACH
ACT-11861,2025-11-23,Revenue,Daily Sales Deposit,3962.76,Credit,Sales,Customer Payments,Check
ACT-11862,2024-11-01,Inventory Purchase,General Inventory Purchase entry,1544.64,Debit,Admin,Various Wholesale,Credit Card
ACT-11863,2024-03-26,Inventory Purchase,General Inventory Purchase entry,481.7,Debit,Admin,Various Wholesale,ACH
ACT-11864,2025-01-13,Utilities,General Utilities entry,214.69,Debit,Admin,City Power & Water,Check
ACT-11865,2024-09-06,Utilities,General Utilities entry,1334.64,Debit,Operations,City Power & Water,ACH
ACT-11866,2024-06-29,Utilities,General Utilities entry,88.79,Debit,Sales,City Power & Water,Check
ACT-11867,2024-12-13,Utilities,General Utilities entry,952.87,Debit,Marketing,City Power & Water,ACH
ACT-11868,2024-12-11,Inventory Purchase,General Inventory Purchase entry,1951.16,Debit,Marketing,Various Wholesale,Check
ACT-11869,2025-08-31,Revenue,Daily Sales Deposit,2171.62,Credit,Sales,Customer Payments,ACH
